Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
Noordoost-Noord-Brabant (CR),488500.0,9.8,23.1,41.4,17.3,8.4,2014,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),570700.0,10.2,21.4,40.6,18.4,9.4,2014,Zuidoost-Noord-Brabant
Noord-Limburg (CR),213400.0,10.9,24.1,43.8,15.5,5.7,2014,Noord-Limburg
Midden-Limburg (CR),180500.0,11.0,22.8,42.3,17.3,6.5,2014,Midden-Limburg
Zuid-Limburg (CR),467800.0,12.6,22.6,40.9,16.3,7.7,2014,Zuid-Limburg
Flevoland (CR),302300.0,10.6,21.7,45.0,16.5,6.3,2014,Flevoland
Oost-Groningen (CR),112100.0,13.2,24.2,46.7,12.5,3.4,2015,Oost-Groningen
Delfzijl en omgeving (CR),35300.0,9.2,22.1,50.1,14.1,4.4,2015,Delfzijl en omgeving
Overig Groningen (CR),305100.0,7.7,15.9,43.7,20.8,11.9,2015,Overig Groningen
Noord-Friesland (CR),244000.0,10.5,21.4,45.8,16.7,5.6,2015,Noord-Friesland
Zuidwest-Friesland (CR),100200.0,9.1,22.6,46.4,16.7,5.2,2015,Zuidwest-Friesland
Zuidoost-Friesland (CR),138400.0,9.1,22.4,45.6,17.1,5.7,2015,Zuidoost-Friesland
Noord-Drenthe (CR),140600.0,8.0,19.3,44.3,19.8,8.6,2015,Noord-Drenthe
Zuidoost-Drenthe (CR),127100.0,11.3,24.6,46.7,13.5,4.0,2015,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),96600.0,10.7,22.7,44.9,15.9,5.8,2015,Zuidwest-Drenthe
Noord-Overijssel (CR),268300.0,9.3,22.4,43.8,17.5,6.9,2015,Noord-Overijssel
Zuidwest-Overijssel (CR),114900.0,9.4,19.6,43.7,18.8,8.5,2015,Zuidwest-Overijssel
Twente (CR),468300.0,10.4,21.2,44.6,17.1,6.6,2015,Twente
Veluwe (CR),498300.0,10.0,22.2,42.3,17.7,7.8,2015,Veluwe
Achterhoek (CR),298600.0,9.0,23.0,45.1,16.8,6.2,2015,Achterhoek
Arnhem/Nijmegen (CR),556600.0,9.9,19.4,40.1,19.1,11.6,2015,Arnhem
Zuidwest-Gelderland (CR),179000.0,11.2,25.2,42.3,14.7,6.6,2015,Zuidwest-Gelderland
Utrecht (CR),957000.0,8.8,17.5,37.5,20.4,15.8,2015,Utrecht
Kop van Noord-Holland (CR),282800.0,10.0,23.4,46.0,15.5,5.1,2015,Kop van Noord-Holland
Alkmaar en omgeving (CR),181800.0,8.4,20.4,43.7,19.0,8.5,2015,Alkmaar en omgeving
IJmond (CR),146200.0,9.8,21.1,44.6,17.4,7.1,2015,IJmond
Agglomeratie Haarlem (CR),170700.0,8.7,17.4,35.8,21.0,17.0,2015,Agglomeratie Haarlem
Zaanstreek (CR),127000.0,11.1,21.6,44.7,16.2,6.4,2015,Zaanstreek
Groot-Amsterdam (CR),1035200.0,10.1,16.1,35.3,19.9,18.6,2015,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),181400.0,8.3,18.4,37.2,21.2,14.9,2015,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),318000.0,8.4,18.9,39.0,18.5,15.3,2015,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),636600.0,12.3,18.5,36.9,18.0,14.3,2015,Agglomeratie 's-Gravenhage
Delft en Westland (CR),175700.0,8.3,19.2,40.4,19.6,12.4,2015,Delft en Westland
Oost-Zuid-Holland (CR),240100.0,9.7,22.6,42.1,17.5,8.1,2015,Oost-Zuid-Holland
Groot-Rijnmond (CR),1067100.0,12.7,21.3,41.3,15.9,8.7,2015,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),297200.0,10.9,23.5,44.1,15.5,5.9,2015,Zuidoost-Zuid-Holland
